product_id,product_name,category,price,stock_quantity,weight_kg,launch_date,rating,is_available,description
1,Mechanical Keyboard,Electronics,77.17,140,0.65,2019-07-26,4.4,True,Fast-Charging mechanical keyboard with low-latency mode for gaming.
2,Wireless Mouse,Electronics,25.76,111,0.62,2024-10-01,2.9,True,Wireless wireless mouse with low-latency mode for content creators; adjustable build quality.
3,Noise Cancelling Headphones,Electronics,218.55,3,1.909,2019-10-16,4.3,True,Durable noise cancelling headphones with built-in microphone for travel; durable build quality.
4,Mechanical Keyboard,Electronics,79.0,49,0.929,2021-11-09,4.1,True,Premium mechanical keyboard with waterproof coating for gaming.
5,Phone Case,Accessories,13.1,150,2.082,2022-01-21,4.1,True,Noise-Reducing phone case with backlit keys for home office.
6,Noise Cancelling Headphones,Electronics,229.1,437,0.62,2019-02-18,3.6,True,High-Performance noise cancelling headphones with shock protection for travel.
7,Laptop Stand,Accessories,26.27,359,2.345,2018-10-20,4.1,True,Ergonomic laptop stand with low-latency mode for students; lightweight build quality.
8,Noise Cancelling Headphones,Electronics,229.36,327,1.736,2020-06-18,4.3,True,Premium noise cancelling headphones with adjustable height for home office.
9,Phone Case,Accessories,13.95,108,2.287,2024-05-12,4.7,True,Durable phone case with adjustable height for remote work.
10,Desk Lamp,Furniture,35.71,71,0.654,2024-04-18,4.0,True,Noise-Reducing desk lamp with aluminum finish for content creators.
11,Phone Case,Accessories,14.37,70,1.298,2019-01-08,4.5,True,Compact phone case with braided nylon for travel.
12,Phone Case,Accessories,15.42,197,0.985,2023-04-02,4.0,True,Silent phone case with USB receiver for gaming.
13,Bluetooth Speaker,Electronics,64.51,393,1.62,2019-04-02,3.4,True,Ergonomic bluetooth speaker with waterproof coating for home office.
14,Noise Cancelling Headphones,Electronics,228.3,390,0.488,2019-03-12,4.7,True,Portable noise cancelling headphones with low-latency mode for students; ergonomic build quality.
15,Bluetooth Speaker,Electronics,68.15,472,1.349,2018-01-03,4.1,True,High-Performance bluetooth speaker with USB receiver for gaming.
16,Noise Cancelling Headphones,Electronics,184.36,123,2.201,2018-11-19,3.0,True,High-Performance noise cancelling headphones with backlit keys for travel; high-performance build quality.
17,Bluetooth Speaker,Electronics,53.96,270,2.187,2022-09-30,4.9,True,Silent bluetooth speaker with adjustable height for video calls.
18,Webcam HD,Electronics,49.06,264,1.156,2020-10-12,3.3,True,Durable webcam hd with USB receiver for students.
19,Wireless Mouse,Electronics,26.13,323,0.194,2018-10-04,4.8,True,Durable wireless mouse with backlit keys for students; high-performance build quality.
20,Laptop Stand,Accessories,25.28,370,2.342,2024-05-27,4.1,True,Wireless laptop stand with waterproof coating for content creators; compact build quality.
21,Phone Case,Accessories,14.33,210,1.194,2018-08-10,4.3,True,Fast-Charging phone case with backlit keys for home office.
22,Webcam HD,Electronics,54.5,55,0.659,2020-02-19,4.0,True,Ergonomic webcam hd with dimmable brightness for travel; wireless build quality.
23,Mechanical Keyboard,Electronics,88.45,441,2.147,2019-02-06,2.9,True,Silent mechanical keyboard with USB receiver for gaming.
24,Laptop Stand,Accessories,22.49,248,1.229,2022-07-01,4.8,True,Ergonomic laptop stand with dimmable brightness for home office.
25,Noise Cancelling Headphones,Electronics,225.58,401,1.165,2022-09-29,4.3,True,Noise-Reducing noise cancelling headphones with low-latency mode for remote work; portable build quality.
26,Laptop Stand,Accessories,28.5,296,1.853,2018-09-07,4.4,True,Premium laptop stand with USB receiver for remote work.
27,Bluetooth Speaker,Electronics,53.82,491,1.294,2020-02-01,3.0,True,Compact bluetooth speaker with adjustable height for content creators; adjustable build quality.
28,Laptop Stand,Accessories,25.58,20,1.567,2022-09-14,4.2,True,Adjustable laptop stand with low-latency mode for daily use.
29,Laptop Stand,Accessories,26.26,160,0.635,2022-06-10,3.1,True,Fast-Charging laptop stand with built-in microphone for remote work; compact build quality.
30,Wireless Mouse,Electronics,29.61,288,2.49,2018-10-28,4.0,True,Silent wireless mouse with built-in microphone for travel.
31,Mechanical Keyboard,Electronics,100.23,189,0.748,2022-11-30,4.6,True,Noise-Reducing mechanical keyboard with built-in microphone for home office.
32,Bluetooth Speaker,Electronics,56.38,339,0.304,2019-07-05,3.4,True,Compact bluetooth speaker with low-latency mode for travel; adjustable build quality.
33,Laptop Stand,Accessories,26.62,104,1.734,2020-12-17,3.9,True,Portable laptop stand with USB receiver for gaming.
34,Noise Cancelling Headphones,Electronics,172.64,170,1.939,2020-12-08,3.2,True,High-Performance noise cancelling headphones with low-latency mode for content creators.
35,Mechanical Keyboard,Electronics,78.52,452,1.743,2019-09-03,4.0,True,Durable mechanical keyboard with aluminum finish for travel.
36,Wireless Mouse,Electronics,28.26,460,2.336,2018-06-13,4.8,True,Wireless wireless mouse with adjustable height for gaming.
37,Bluetooth Speaker,Electronics,66.9,208,2.436,2019-09-26,4.8,True,Wireless bluetooth speaker with braided nylon for travel.
38,Wireless Mouse,Electronics,27.11,473,0.864,2022-08-14,4.6,True,Noise-Reducing wireless mouse with adjustable height for video calls; noise-reducing build quality.
39,Mechanical Keyboard,Electronics,86.82,19,2.154,2020-06-30,3.2,True,High-Performance mechanical keyboard with shock protection for video calls.
40,Laptop Stand,Accessories,22.91,337,0.523,2021-09-06,3.4,True,Compact laptop stand with built-in microphone for daily use.
41,Phone Case,Accessories,15.8,431,1.364,2018-04-24,3.1,True,Portable phone case with braided nylon for video calls; adjustable build quality.
42,Phone Case,Accessories,14.3,402,0.819,2024-10-19,5.0,True,Compact phone case with dimmable brightness for students; noise-reducing build quality.
43,Phone Case,Accessories,12.75,473,2.026,2020-03-18,3.6,True,Compact phone case with shock protection for daily use.
44,Mechanical Keyboard,Electronics,95.92,153,1.292,2022-07-31,3.5,True,Noise-Reducing mechanical keyboard with built-in microphone for travel; fast-charging build quality.
45,Phone Case,Accessories,15.79,462,0.476,2024-05-20,3.5,True,Silent phone case with USB receiver for video calls; lightweight build quality.
46,External SSD 1TB,Storage,113.51,164,1.189,2022-12-17,4.3,True,Silent external ssd 1tb with waterproof coating for travel.
47,Noise Cancelling Headphones,Electronics,200.92,324,1.567,2019-01-18,4.6,True,Wireless noise cancelling headphones with built-in microphone for students.
48,USB-C Cable,Accessories,8.56,125,2.461,2018-10-26,3.8,True,Fast-Charging usb-c cable with aluminum finish for students.
49,Phone Case,Accessories,14.96,124,0.412,2018-01-23,4.8,True,Compact phone case with dimmable brightness for students; noise-reducing build quality.
50,Bluetooth Speaker,Electronics,59.35,285,0.661,2019-05-13,3.8,True,High-Performance bluetooth speaker with low-latency mode for daily use.
51,Desk Lamp,Furniture,41.34,368,2.235,2022-10-14,4.6,True,Silent desk lamp with waterproof coating for travel.
